"Year","State","Industry","Employment","Establishments","Wages.Thousands","Employment.Tot","Wages.Tot.Millions","nominal_revenue"
2001,"HI","Seaf Packaging",NA,NA,NA,NA,NA,NA
2002,"HI","Seaf Packaging",NA,NA,NA,NA,NA,NA
2003,"HI","Seaf Packaging",NA,NA,NA,NA,NA,NA
2004,"HI","Seaf Packaging",NA,3,NA,NA,NA,NA
2005,"HI","Seaf Packaging",NA,4,NA,NA,NA,NA
2006,"HI","Seaf Packaging",NA,3,NA,NA,NA,NA
2007,"HI","Seaf Packaging",NA,3,NA,NA,NA,NA
2008,"HI","Seaf Packaging",NA,3,NA,NA,NA,NA
2009,"HI","Seaf Packaging",NA,4,NA,NA,NA,NA
2010,"HI","Seaf Packaging",53,4,1291.5862273363,212,4.372,1093
2011,"HI","Seaf Packaging",60,4,1415.76755534275,240,4.892,1223
2012,"HI","Seaf Packaging",63,5,1489.75097626464,315,6.555,1311
2013,"HI","Seaf Packaging",NA,4,NA,NA,NA,NA
2014,"HI","Seaf Packaging",NA,3,NA,NA,NA,NA
2015,"HI","Seaf Packaging",NA,2,NA,NA,NA,NA
2016,"HI","Seaf Packaging",NA,2,NA,NA,NA,NA
2017,"HI","Seaf Packaging",NA,2,NA,NA,NA,NA
2018,"HI","Seaf Packaging",NA,3,NA,NA,NA,NA
2019,"HI","Seaf Packaging",NA,3,NA,NA,NA,NA
